Time , 13:41:30,  [Data], NEP 0
Time , 13:41:30,  [Data], ISDN 0
Time , 13:41:31,  [Data], VOL 0
Time , 13:41:32,  [Data], DPM 0
Time , 13:41:32,  [Data], NEP 0
Time , 13:41:32,  [Data], ISDN 0
Time , 13:41:33,  [Data], VOL 0
Time , 13:41:34,  [Data], DPM 0
Time , 13:41:34,  [Data], NEP 0
Time , 13:41:34,  [Data], ISDN 0
Time , 13:41:35,  [Data], VOL 0
Time , 13:41:36,  [Data], DPM 0
Time , 13:41:36,  [Data], NEP 0
Time , 13:41:36,  [Data], ISDN 0
Time , 13:41:37,  [Data], VOL 0
Time , 13:41:38,  [Data], DPM 0
Time , 13:41:38,  [Data], NEP 0
Time , 13:41:38,  [Data], ISDN 0
Time , 13:41:39,  [Data], VOL 0
Time , 13:41:40,  [Data], DPM 0
Time , 13:41:40,  [Data], NEP 0
Time , 13:41:40,  [Data], ISDN 0
Time , 13:41:41,  [Data], VOL 0
Time , 13:41:42,  [Data], DPM 0
Time , 13:41:42,  [Data], NEP 0
Time , 13:41:42,  [Data], ISDN 0
Time , 13:41:43,  [Data], VOL 0
Time , 13:41:44,  [Data], DPM 0
Time , 13:41:44,  [Data], NEP 0
Time , 13:41:44,  [Data], ISDN 0
Time , 13:41:45,  [Data], VOL 0
Time , 13:41:46,  [Data], DPM 0
Time , 13:41:46,  [Data], NEP 0
Time , 13:41:46,  [Data], ISDN 0
Time , 13:41:47,  [Data], VOL 0
Time , 13:41:48,  [Data], DPM 0
Time , 13:41:48,  [Data], NEP 0
Time , 13:41:48,  [Data], ISDN 0
Time , 13:41:49,  [Data], VOL 0
Time , 13:41:50,  [Data], DPM 0
Time , 13:41:50,  [Data], NEP 0
Time , 13:41:50,  [Data], ISDN 0
Time , 13:41:51,  [Data], VOL 0
Time , 13:41:52,  [Data], DPM 0
Time , 13:41:52,  [Data], NEP 0
Time , 13:41:52,  [Data], ISDN 0
Time , 13:41:53,  [Data], VOL 0
Time , 13:41:54,  [Data], DPM 0
