Time , 13:42:10,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:12,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:14,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:16,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:18,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:20,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:22,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:24,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:26,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:28,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:30,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:32,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:34,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:36,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:38,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:40,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:42,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:44,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:46,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:48,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:50,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:52,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:54,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:56,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:42:58,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:00,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:02,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:04,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:06,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:08,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:10,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:12,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:14,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:16,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:18,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:20,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:22,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:24,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:26,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:28,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:30,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:32,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:34,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:36,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:38,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:40,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:42,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:44,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:46,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:48,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:50,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:52,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:54,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:56,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:43:58,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:00,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:02,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:04,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:06,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:08,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:10,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:12,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:14,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:16,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:18,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:20,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:22,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:24,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:26,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:28,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:30,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:32,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:34,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:36,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:38,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:40,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
